Feature,Category,Precision,Recall,F-beta
native-country, Cuba,1.0,1.0,1.0
native-country, Iran,1.0,0.6,0.75
native-country, Jamaica,1.0,1.0,1.0
native-country, Haiti,1.0,1.0,1.0
native-country, South,1.0,0.5,0.6666666666666666
native-country, Taiwan,1.0,0.75,0.8571428571428571
native-country, Dominican-Republic,1.0,1.0,1.0
native-country, Ireland,1.0,1.0,1.0
native-country, Japan,1.0,1.0,1.0
native-country, Scotland,1.0,1.0,1.0
native-country, India,0.8571428571428571,0.75,0.8
native-country, Trinadad&Tobago,1.0,1.0,1.0
native-country, Hungary,1.0,1.0,1.0
native-country, England,1.0,1.0,1.0
native-country, Laos,1.0,1.0,1.0
native-country, Hong,1.0,1.0,1.0
native-country, Greece,1.0,0.0,0.0
native-country, Portugal,1.0,1.0,1.0
native-country, Guatemala,1.0,1.0,1.0
native-country, China,1.0,1.0,1.0
native-country, France,1.0,1.0,1.0
native-country, Nicaragua,1.0,1.0,1.0
native-country, Vietnam,1.0,1.0,1.0
native-country, Thailand,1.0,1.0,1.0
native-country, Peru,1.0,1.0,1.0
native-country, Honduras,1.0,1.0,1.0
native-country, Yugoslavia,1.0,1.0,1.0
